time,usd_rate,eur_rate,gbp_rate
2023-03-09T14:54:00+00:00,21713.7778,21152.3898,18143.859
2023-03-09T15:11:00+00:00,21740.5969,21178.5155,18166.2689
2023-03-09T15:11:00+00:00,21740.5969,21178.5155,18166.2689
2023-03-09T15:12:00+00:00,21724.7274,21163.0563,18153.0084
